screen_name,lang,created_at,fav_count,retweet_count,text,location
dyangwidjaya02,in,10/2/2020 6:57,0,15,"RT @ChristWamea: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi. Borong dari Medan sampai Solo. 
httâ€¦",
detikcom,in,10/2/2020 6:45,11,1,Mantan Wakil Gubernur DKI Jakarta Sandiaga Uno bakal menjadi juru kampanye pasangan calon Gibran Rakabuming Raka-Teâ€¦ https://t.co/ur5meG73yh,"Jakarta, Indonesia"
edhi_shi,in,10/2/2020 6:44,0,0,"@NayDonuts @AirinAirin_NZ @tjhinfar21 @Chilli_Pari Gk butuh jurkam dari pusat spt @sandiuno 
Warga solo cukup berdiâ€¦ https://t.co/PevsAGxjeu",jogja
gigihprytn,in,10/2/2020 6:37,0,3,"RT @KATADATAcoid: Wakil Ketua DPP Gerindra @sandiuno akan menjadi juru kampanye untuk pasangan calon Wali Kota dan Wakil Wali Kota Solo, Giâ€¦","Surakarta, Jawa Tengah"
Deckyalvares,in,10/2/2020 6:35,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",ðŸ’Ÿ NKRI
EliteInteligent,in,10/2/2020 6:31,0,20,"RT @geloraco: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi
https://t.co/3NbXRfHb9E","Settle, England"
teppiepersz,in,10/2/2020 6:26,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Jakarta Capital Region
maydivaca,in,10/2/2020 6:21,0,3,"RT @KATADATAcoid: Wakil Ketua DPP Gerindra @sandiuno akan menjadi juru kampanye untuk pasangan calon Wali Kota dan Wakil Wali Kota Solo, Giâ€¦",
KATADATAcoid,in,10/2/2020 6:17,3,3,Wakil Ketua DPP Gerindra @sandiuno akan menjadi juru kampanye untuk pasangan calon Wali Kota dan Wakil Wali Kota Soâ€¦ https://t.co/dUH0cNLILo,Jakarta
teguh_gibran,in,10/2/2020 6:02,0,0,Asyiikkk,"Sukabumi, Indonesia"
teguh_gibran,es,10/2/2020 6:01,0,0,Laparrr,"Sukabumi, Indonesia"
ed_parmadi,in,10/2/2020 6:01,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",
