Minggu,screen_name,lang,created_at,fav_count,retweet_count,text,location
6,kumparan,in,11/17/2020 8:30,4,0,"155 Alat Peraga Kampanye (APK) milik kedua paslon, Gibran-Teguh dan Bagyo-Supardjo diturunkan oleh tim gabungan dar… https://t.co/GeRLi5okQX",
6,kitaindonesiaaa,in,11/17/2020 2:49,1,0,"@TomyZei Udah diberi peringatan kok
https://t.co/geSmdHyJPk",
6,kitaindonesiaaa,in,11/17/2020 2:48,0,0,"@alif_adila_ Udah diberi peringatan kok 
https://t.co/geSmdHyJPk",
6,newsmerahputih,in,11/16/2020 5:33,1,0,Gibran Rakabumimg Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo mencari simpati di tengah masyarakat menebar jan… https://t.co/FEEqV4I7XN,
7,ErickConstant14,in,12/5/2020 17:22,0,0,"RT @kumparan: Paslon 02 Pilwalkot Solo, Bagyo Wahyono-FX Supardjo (Bajo), memanfaatkan hari terakhir kampanye dengan menghadiri deklarasi d…",Indonesia. 
7,kumparan,in,12/5/2020 12:48,6,0,"Paslon 02 Pilwalkot Solo, Bagyo Wahyono-FX Supardjo (Bajo), memanfaatkan hari terakhir kampanye dengan menghadiri d… https://t.co/n6w63Fvsyn",
7,budhi_budheng,in,12/4/2020 7:17,0,0,"Dalam debat tersebut, putra Jokowi itu sempat adu argumen dengan pasangan calon Bagyo Wahyono-FX Supardjo (Bajo).",
7,budhi_budheng,in,12/4/2020 7:17,0,0,Gibran: Saya dan Bagyo-Supardjo Tetap Bersaudara https://t.co/uJJVlD76Ya,
7,purirohermawan,in,12/3/2020 16:46,0,1,"RT @kumparan: Calon Wali Kota Solo, Gibran Rakabuming Raka, mengatakan saling adu argumen dalam debat merupakan hal biasa. Ia menegaskan hu…",Klaten Indonesia
7,kumparan,in,12/3/2020 16:38,11,1,"Calon Wali Kota Solo, Gibran Rakabuming Raka, mengatakan saling adu argumen dalam debat merupakan hal biasa. Ia men… https://t.co/EZqt4oqc5i",
7,minosyahmadi,in,12/3/2020 15:11,0,1,RT @detikcom: Calon Wali Kota Solo Gibran Rakabuming Raka menanyakan program konkret Bagyo Wahyono-FX Supardjo (Bajo) untuk memperkokoh NKR…,"Simalungun, Sumatera Utara"
7,detikcom,in,12/3/2020 15:10,6,1,Calon Wali Kota Solo Gibran Rakabuming Raka menanyakan program konkret Bagyo Wahyono-FX Supardjo (Bajo) untuk mempe… https://t.co/KST9vrowbm,"Jakarta, Indonesia"
7,minosyahmadi,in,12/3/2020 14:20,0,1,"RT @detikcom: ""Bajo (Bagyo Wahyono-FX Supardjo) punya program mengatasi banjir dan sebagainya. Yaitu jalan layang, kereta bawah tanah dan s…","Simalungun, Sumatera Utara"
7,detikcom,in,12/3/2020 14:17,10,1,"""Bajo (Bagyo Wahyono-FX Supardjo) punya program mengatasi banjir dan sebagainya. Yaitu jalan layang, kereta bawah t… https://t.co/TKc118nako","Jakarta, Indonesia"
7,purirohermawan,in,12/3/2020 12:56,0,1,"RT @kompascom: Pasangan calon Wali Kota dan Wakil Wali Kota Solo jalur perseorangan, Bagyo Wahyono-FX Supardjo (Bajo) datang lebih awal ke…",Klaten Indonesia
7,kompascom,in,12/3/2020 12:54,2,1,"Pasangan calon Wali Kota dan Wakil Wali Kota Solo jalur perseorangan, Bagyo Wahyono-FX Supardjo (Bajo) datang lebih… https://t.co/5CPinbCWdG",Indonesia
7,sebrangjln66,in,12/2/2020 14:36,0,2,"RT @BEMUNS: UNDANGAN TERBUKA: Dialog Terbuka antar Paslon Walikota Solo

Dengan surat terbuka ini, kami BEM UNS mengajak paslon walikota So…",
7,Badroooen,in,12/2/2020 13:35,0,2,"RT @BEMUNS: UNDANGAN TERBUKA: Dialog Terbuka antar Paslon Walikota Solo

Dengan surat terbuka ini, kami BEM UNS mengajak paslon walikota So…","ngawi, jawa timur"
7,BEMUNS,in,12/2/2020 13:33,6,2,"UNDANGAN TERBUKA: Dialog Terbuka antar Paslon Walikota Solo

Dengan surat terbuka ini, kami BEM UNS mengajak paslon… https://t.co/OioWNYfLeD",Gd. Sekertariat BEM - DEMA
7,suaradotcom,in,12/2/2020 5:33,0,0,Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Bajo) bakal kembali terlibat adu argumentasi https://t.co/LkWJRuAbWg,Jakarta Capital Region
7,BacaDiBaBe,in,12/1/2020 9:32,0,0,Tema Debat Kedua Gibran-Teguh Vs Bagyo-Supardjo: Strategi Tangani COVID-19 https://t.co/Uewd8LfBoM https://t.co/wJyM9BKIpF,Indonesia
7,kumparan,in,12/1/2020 9:18,1,0,"Debat kedua dengan tema ""Memajukan Surakarta sebagai Kota Budaya yang Inovatif dalam Keberagaman melalui Kolaborasi… https://t.co/gw2HxloSpQ",
7,Paulus_willy,in,11/28/2020 4:03,0,3,"RT @AirinAirin_NZ: Dalam laporan harta kekayaan calon kepala daerah ke KPK, @Chilli_Pari tercatat memiliki harta sebesar Rp21 miliar dan Te…",Indonesia
7,Paulus_willy,in,11/28/2020 4:03,0,3,"RT @AirinAirin_NZ: Pasangan @Chilli_Pari Teguh bakal bertarung melawan pasangan calon nomor urut 2, Bagyo Wahyono-FX Supardjo (BaJo) yang m…",Indonesia
7,Nuwun_Gusti,in,11/27/2020 15:03,0,3,"RT @AirinAirin_NZ: Pasangan @Chilli_Pari Teguh bakal bertarung melawan pasangan calon nomor urut 2, Bagyo Wahyono-FX Supardjo (BaJo) yang m…",Yogya Aja
7,Nuwun_Gusti,in,11/27/2020 15:03,0,3,"RT @AirinAirin_NZ: Dalam laporan harta kekayaan calon kepala daerah ke KPK, @Chilli_Pari tercatat memiliki harta sebesar Rp21 miliar dan Te…",Yogya Aja
7,KitaSahabatNKRI,in,11/27/2020 15:01,0,3,"RT @AirinAirin_NZ: Dalam laporan harta kekayaan calon kepala daerah ke KPK, @Chilli_Pari tercatat memiliki harta sebesar Rp21 miliar dan Te…",9/9/2020
7,KitaSahabatNKRI,in,11/27/2020 15:01,0,3,"RT @AirinAirin_NZ: Pasangan @Chilli_Pari Teguh bakal bertarung melawan pasangan calon nomor urut 2, Bagyo Wahyono-FX Supardjo (BaJo) yang m…",9/9/2020
7,AirinAirin_NZ,in,11/27/2020 14:23,14,3,"Dalam laporan harta kekayaan calon kepala daerah ke KPK, @Chilli_Pari tercatat memiliki harta sebesar Rp21 miliar d… https://t.co/axwDCFfW99","DKI Jakarta, Indonesia"
7,AirinAirin_NZ,in,11/27/2020 14:22,8,3,"Pasangan @Chilli_Pari Teguh bakal bertarung melawan pasangan calon nomor urut 2, Bagyo Wahyono-FX Supardjo (BaJo) y… https://t.co/nPpZc8C06F","DKI Jakarta, Indonesia"
