screen_name,lang,created_at,fav_count,retweet_count,text,location
StalistS,in,9/24/2020 19:48,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
jawapos,in,9/24/2020 14:20,3,0,"Gibran-Teguh 1, Bagyo-Supardjo 2, Sama-Sama Pede Menang Pilkada Solo https://t.co/CVShWTfNmc","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
Reee_bahan,in,9/24/2020 14:10,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",K A M A R 
Mbalelo_Ireng,in,9/24/2020 14:07,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…","Samudragarh, India"
Mbemz_Blank,in,9/24/2020 13:35,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",Berpijak di Bumi
Sigar_Untumu,in,9/24/2020 13:32,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…","Alabama, USA"
_Umamlik,in,9/24/2020 13:25,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",
LahAkuKenapa,in,9/24/2020 13:17,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",I N D O N E S I A
L0v3D0lph1n,in,9/24/2020 13:15,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",Ride with the wave
myCaffe0,in,9/24/2020 13:12,11,7,"Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyi… https://t.co/px9GHlBQYo",jembatan shirotol mustaqim
dwikartiko6,in,9/24/2020 11:50,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
masplonget,in,9/24/2020 11:35,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
elalorries,in,9/24/2020 11:13,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,kota ambarawa desa bedono
Lforjustice1,in,9/24/2020 10:57,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
perinde_santosa,in,9/24/2020 10:45,1,0,"@_AwasiPilkada 
Dua pasangan calon walikota di The Sunan Hotel Solo.
Pasangan Gibran-Teguh mendapat nomor urut 01.… https://t.co/Us2GdVZv9s",surakarta
detikcom,in,9/24/2020 10:41,2,1,Paslon Bagyo Wahyono-FX Supardjo (Bajo) mengincar nomor urut 1 dalam Pilkada Solo. Meski pada kenyataannya mendapat… https://t.co/QGC2x2K30p,"Jakarta, Indonesia"
BacaDiBaBe,in,9/24/2020 9:00,0,0,"Nomor Urut di Pilwalkot Solo: Gibran-Teguh 1, Bagyo-Supardjo 2 #GibranRakabuming #Disinfektan #KomisiPemilihanUmum… https://t.co/rLSBA9YlfU",Indonesia
YudhiAP_,in,9/24/2020 8:11,0,0,"Nomer Urut Calon Walikota &amp; Wakil Walikota Surakarta

1. Gibran Rakabuming Raka - Teguh Prakosa ( PDI Perjuangan )… https://t.co/lf1egCAHMc","Sukoharjo, Indonesia"
EgaRiyana,in,9/24/2020 8:05,0,2,"RT @KompasTV: KPU Kota Solo, Jawa Tengah, menetapkan dua pasangan calon Wali Kota Pilkada 2020. Dua pasangan itu yakni Putra Jokowi, Gibran…",
ridwanhasigi,in,9/24/2020 8:01,0,2,"RT @KompasTV: KPU Kota Solo, Jawa Tengah, menetapkan dua pasangan calon Wali Kota Pilkada 2020. Dua pasangan itu yakni Putra Jokowi, Gibran…","Kota Palu, Sulawesi Tengah"
KompasTV,in,9/24/2020 8:00,3,2,"KPU Kota Solo, Jawa Tengah, menetapkan dua pasangan calon Wali Kota Pilkada 2020. Dua pasangan itu yakni Putra Joko… https://t.co/sUM0dQ6xKy",Indonesia
eka_mulyahas,in,9/24/2020 7:04,0,0,"Pasangan calon Pilkada Kota Solo 2020, Gibran Rakabuming Raka-Teguh Prakosa mendapat nomor urut 1, sementara lawann… https://t.co/VZ24dYdyBr",
kumparan,in,9/24/2020 7:02,3,0,"""Pengundian nomor urut paslon telah kita lakukan, paslon Gibran-Teguh mendapatkan nomor satu dan Bajo nomor urut du… https://t.co/9XotHM4wjn",
nasai_yayan,in,9/24/2020 6:50,0,2,"RT @KompasTV: KPU Tetapkan 2 Paslon Pilwakot Solo, Gibran-Teguh dan Bagyo-Supardjo https://t.co/bu7Hn0gEZX",
detikcom,in,9/24/2020 6:47,6,1,Pasangan Gibran Rakabuming Raka-Teguh Prakosa (Gibran-Teguh) dan Bagyo Wahyono-FX Supardjo (Bajo) menghadiri pengun… https://t.co/52Cd2Ynbup,"Jakarta, Indonesia"
KompasTV,in,9/24/2020 6:34,3,2,"KPU Tetapkan 2 Paslon Pilwakot Solo, Gibran-Teguh dan Bagyo-Supardjo https://t.co/bu7Hn0gEZX",Indonesia
ChengHo48078612,in,9/24/2020 5:59,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
Nurchan93995658,in,9/24/2020 5:22,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
Rangga__6,in,9/24/2020 4:45,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"DKI Jakarta, Indonesia"
radarmasnetwork,in,9/24/2020 4:44,0,0,"Sah Jadi Paslon, Gibran-Teguh &amp; Bagyo-Supardjo Tak Soalkan Nomor Urut https://t.co/Dal12YHApy","Banyumas, Central Java"
NewBintangTimur,in,9/24/2020 4:42,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"DKI Jakarta, Indonesia"
3_4ngels,in,9/24/2020 4:28,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,#𝘼𝙘𝙘𝙤𝙪𝙣𝙩𝙁𝙖𝙧𝙢𝙨
Olla______,in,9/24/2020 4:23,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
kekasih_hamba,in,9/24/2020 3:59,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
Hoax_Vangsat,in,9/24/2020 3:34,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"Uşak, Türkiye"
MuahMuah96,in,9/24/2020 3:23,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,Indonesia
budiira88,in,9/24/2020 3:04,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"Kalimantan Selatan, Indonesia"
Den__Artfleck17,in,9/24/2020 3:00,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
FatimahSw33ty,in,9/24/2020 2:34,30,18,😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tag… https://t.co/wf9dtRuflF,
CNNIDdaily,in,9/24/2020 2:03,1,1,Pasangan Gibran-Teguh dan Bagyo-Supardjo secara resmi akan bertarung memperebutkan kursi Wali Kota Solo. Kedua pasa… https://t.co/jruNxEwlUi,Indonesia
NarasiNewsroom,in,9/24/2020 0:26,0,1,Bagyo Wahyono dan F.X. Supardjo dipastikan menjadi lawan Gibran-Teguh dalam Pilwalkot Solo 2020. Bagyo-Supardjo maj… https://t.co/QGqKGnE46z,
amirullahtahir,in,9/23/2020 18:11,0,2,RT @detikcom: KPU Solo secara resmi menetapkan Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Bajo) sebagai pasangan c…,"Jakarta Pusat, DKI Jakarta"
nununanaca,in,9/23/2020 17:32,0,2,RT @detikcom: KPU Solo secara resmi menetapkan Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Bajo) sebagai pasangan c…,"Bogor, Jawa Barat"
detikcom,in,9/23/2020 17:28,25,2,KPU Solo secara resmi menetapkan Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Bajo) sebagai… https://t.co/7UKKblRscP,"Jakarta, Indonesia"
BacaDiBaBe,in,9/23/2020 15:42,0,0,KPU Tetapkan Gibran-Teguh dan Bagyo-Supardjo Paslon di Pilwalkot Solo 2020 #GibranRakabuming #KomisiPemilihanUmum… https://t.co/fPOvZrBRVA,Indonesia
